a52dec 0.7.4-10
aalib 1.4rc5-13
accountsservice 0.6.55-1
acl 2.2.53-1
acpi_call 1.1.0-256
acpid 2.0.32-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adobe-source-sans-pro-fonts 3.006-1
adwaita-icon-theme 3.34.3-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.9-2
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
ansible 2.9.0-1
ansible-aur-git 0.24.r0.g9f52f50-1
ansible-lint 4.1.0-1
aom 1.0.0.errata1-1
apparmor 2.13.3-2
appstream-glib 0.7.16-2
archlinux-appstream-data 20191027-1
archlinux-keyring 20191018-1
argon2 20190702-1
aribb24 1.0.3-2
aspell 0.60.8-1
aspell-en 2018.04.16-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
atkmm 2.28.0-1
attica 5.63.0-1
attr 2.4.48-1
audiofile 0.3.6-5
audit 2.8.5-3
augeas 1.12.0-1
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
awesome-terminal-fonts 1.1.0-2
babl 0.1.72-1
base 2-1
bash 5.0.011-1
bc 1.07.1-3
bemenu 0.1.0-1
bind-tools 9.14.7-1
binutils 2.33.1-1
bison 3.4.2-1
bitwarden-bin 1.16.6-1
bitwarden-cli-bin 1.8.0-2
blas 3.8.0-2
blueman 2.1.1-1
bluez 5.52-1
bluez-libs 5.52-1
bluez-utils 5.52-1
boost 1.71.0-2
boost-libs 1.71.0-2
brave-bin 1:0.70.122-1
breeze-gtk 5.17.2-1
breeze-obsidian-cursor-theme 1.0-3
breeze-snow-cursor-theme 1.0-3
brightnessctl 0.4-3
brother-hl-l2380dw 3.2.0-2
brother-mfc-j450dw 3.0.0-1
brotli 1.0.7-1
brscan4 0.4.8_1-1
btrfs-progs 5.3.1-1
bubblewrap 0.3.3-3
buildah 1.11.4-1
bzip2 1.0.8-2
ca-certificates 20181109-1
ca-certificates-mozilla 3.47-1
ca-certificates-utils 20181109-1
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
calibre 4.3.0-1
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
celt 0.11.3-3
celt0.5.1 0.5.1.3-4
ceph-libs 14.2.1-2
chmlib 0.40-5
chromaprint 1.4.3-2
cifs-utils 6.9-1
clamav 0.101.4-1
clamav-unofficial-sigs 6.1.1-1
clipman 1.2.0-1
clucene 2.3.3.4-10
cmake 3.15.5-1
cmark-gfm 0.29.0.gfm.0-1
cni-plugins 0.8.2-1
colord 1.4.4+9+g1ce26da-1
colord-sane 1.4.4+9+g1ce26da-1
conmon 1:2.0.2-1
coreutils 8.31-2
corrupter-bin 1.0-1
cracklib 2.9.7-1
cronie 1.5.5-1
cryptomator 1.4.15-1
cryptsetup 2.2.2-1
cups 2.3.0-4
cups-filters 1.25.11-1
cups-pdf 3.0.1-4
curl 7.66.0-1
curseradio-git r15.1bd4bd0-1
dav1d 0.4.0-1
db 5.3.28-4
dbus 1.12.16-2
dbus-glib 0.110-1
dconf 0.34.0-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-2
dex 0.8.0-2
diffutils 3.7-2
djvulibre 3.5.27-4
dkms 2.8.1-1
dmenu 4.9-1
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20190629-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dosfstools 4.1-2
double-conversion 3.1.5-1
downgrade 6.2.1-0
dtrx 7.1-4
e2fsprogs 1.45.4-1
efibootmgr 16-1
efivar 37-1
emacs 26.3-1
enchant 2.2.7-1
evince 3.34.1-1
exfat-utils 1.3.0-1
exiv2 0.27.2-1
expac 9-2
expat 2.2.9-1
f2fs-tools 1.13.0-1
faac 1.30-1
faad2 2.9.1-1
fakeroot 1.24-1
fbreader 0.99.4-8
fd 7.4.0-1
ffmpeg 1:4.2.1-3
ffmpegthumbnailer 2.2.2-1
ffmpegthumbs 19.08.3-1
fftw 3.3.8-1
file 5.37-3
filesystem 2019.10-1
findutils 4.7.0-1
firefox 70.0.1-1
firejail 0.9.60-1
firetools 0.9.58-2
firewalld 0.7.2-1
flac 1.3.3-1
flashfocus-git v2.1.1.r0.g40d548a-1
flatpak 1.5.0-1
flex 2.6.4-2
fluidsynth 2.0.8-1
fmt 6.0.0-1
foliate 1.5.3-1
fontconfig 2:2.13.91+24+g75eadca-1
freeimage 3.18.0-3
freerdp 1:2.0.0_rc4-7
freetype2 2.10.1-1
fribidi 1.0.7-1
fuse-common 3.8.0-1
fuse2 2.9.9-3
fuse3 3.8.0-1
fzf 0.18.0-2
gawk 5.0.1-1
gc 8.0.4-2
gcab 1.3-1
gcc 9.2.0-4
gcc-libs 9.2.0-4
